,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,id
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206358167178948608
Name: 0, dtype: object"
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206355644942561280
Name: 1, dtype: object"
2,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,"id    1206349217498841088
Name: 2, dtype: object"
3,,,,,,,,,"id    1206345583297843200
Name: 3, dtype: object"
4,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,"id    1206340958893355010
Name: 4, dtype: object"
5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,"id    1206340820753768448
Name: 5, dtype: object"
6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206336800890986496
Name: 6, dtype: object"
7,0.1,0.2,0.1,0.1,0.2,0.0,0.1,0.2,"id    1206335776725884930
Name: 7, dtype: object"
8,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,"id    1206331581717041153
Name: 8, dtype: object"
9,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,"id    1206328837098868739
Name: 9, dtype: object"
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206328280233775108
Name: 10, dtype: object"
11,,,,,,,,,"id    1206326050235408384
Name: 11, dtype: object"
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"id    1206317071711244291
Name: 12, dtype: object"
13,,,,,,,,,"id    1206316963775033346
Name: 13, dtype: object"
14,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,"id    1206312132406497280
Name: 14, dtype: object"
15,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,"id    1206280904433426436
Name: 15, dtype: object"
16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"id    1206279044670595073
Name: 16, dtype: object"
17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"id    1206278152147939333
Name: 17, dtype: object"
18,,,,,,,,,"id    1206272393255235584
Name: 18, dtype: object"
19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"id    1206257357912563713
Name: 19, dtype: object"
20,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,"id    1206254623536889858
Name: 20, dtype: object"
21,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,"id    1206252901158596609
Name: 21, dtype: object"
22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"id    1206250710725267457
Name: 22, dtype: object"
23,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,"id    1206247520432578560
Name: 23, dtype: object"
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206240244208742400
Name: 24, dtype: object"
